,Year,Round,Region Number,Region Name,Seed,Score,Team,Team.1,Score.1,Seed.1,Pointdiff,Winner,Champs,MM19,,Seed,Matchup,Champs
126,1987,1,1,West,1,95,UNLV,Idaho St,70,16,25,1,0,No,,1,16,0
127,1987,1,1,West,2,99,Iowa,Santa Clara,76,15,23,1,0,Yes (1),,2,15,0
128,1987,1,1,West,3,93,Pittsburgh,Marist,68,14,25,1,0,No,,3,14,0
129,1987,1,1,West,4,92,UCLA,Central Michigan,73,13,19,1,0,No,,4,13,0
130,1987,1,1,West,5,60,Virginia,Wyoming,64,12,4,2,0,Yes (1),,5,12,0
131,1987,1,1,West,6,74,Oklahoma,Tulsa,69,11,5,1,0,Yes (1),,6,11,0
132,1987,1,1,West,7,98,UTEP,Arizona,91,10,7,1,0,Yes (2),,7,10,0
133,1987,1,1,West,8,79,Georgia,Kansas St,82,9,3,2,0,Yes (2),,8,9,0
134,1987,1,2,Midwest,1,92,Indiana,Fairfield,58,16,34,1,0,No,,1,16,0
135,1987,1,2,Midwest,2,75,Temple,Southern,56,15,19,1,0,No,,2,15,0
136,1987,1,2,Midwest,3,76,DePaul,Louisiana Tech,62,14,14,1,0,No,,3,14,0
137,1987,1,2,Midwest,4,69,Missouri,Xavier,70,13,1,2,0,No,,4,13,0
138,1987,1,2,Midwest,5,58,Duke,Texas A&M,51,12,7,1,0,Yes (1),,5,12,0
139,1987,1,2,Midwest,6,57,St Johns,Wichita St,55,11,2,1,0,No,,6,11,0
140,1987,1,2,Midwest,7,79,Georgia Tech,LSU,85,10,6,2,0,Yes (2),,7,10,0
141,1987,1,2,Midwest,8,62,Auburn,San Diego,61,9,1,1,0,Yes (1),,8,9,0
142,1987,1,3,Southeast,1,75,Georgetown,Bucknell,53,16,22,1,0,No,,1,16,0
143,1987,1,3,Southeast,2,88,Alabama,North Carolina A&T,71,15,17,1,0,No,,2,15,0
144,1987,1,3,Southeast,3,67,Illinois,Austin Peay,68,14,1,2,0,No,,3,14,0
145,1987,1,3,Southeast,4,60,Clemson,Southwest Missouri St,65,13,5,2,0,No,,4,13,0
146,1987,1,3,Southeast,5,66,Kansas,Houston,55,12,11,1,0,Yes (1),,5,12,0
147,1987,1,3,Southeast,6,90,Providence,UAB,68,11,22,1,0,No,,6,11,0
148,1987,1,3,Southeast,7,83,New Orleans,BYU,79,10,4,1,0,No,,7,10,0
149,1987,1,3,Southeast,8,77,Kentucky,Ohio St,91,9,14,2,0,Yes (1),,8,9,0
150,1987,1,4,East,1,113,North Carolina,Pennsylvania,82,16,31,1,0,Yes (1),,1,16,0
151,1987,1,4,East,2,79,Syracuse,Georgia Southern,73,15,6,1,0,Yes (1),,2,15,0
152,1987,1,4,East,3,104,Purdue,Northeastern,95,14,9,1,0,Yes (1),,3,14,0
153,1987,1,4,East,4,76,TCU,Marshall,60,13,16,1,0,No,,4,13,0
154,1987,1,4,East,5,84,Notre Dame,Middle Tennessee St,71,12,13,1,0,No,,5,12,0
155,1987,1,4,East,6,82,Florida,NC State,70,11,12,1,0,Yes (1),,6,11,0
156,1987,1,4,East,7,62,West Virginia,Western Kentucky,64,10,2,2,0,No,,7,10,0
157,1987,1,4,East,8,82,Navy,Michigan,97,9,15,2,0,Yes (2),,8,9,0
158,1987,2,1,West,1,80,UNLV,Kansas St,61,9,19,1,0,Yes (2),,1,9,0
159,1987,2,1,West,2,84,Iowa,UTEP,82,7,2,1,0,Yes (1),,2,7,0
160,1987,2,1,West,3,93,Pittsburgh,Oklahoma,96,6,3,2,0,Yes (2),,3,6,0
161,1987,2,1,West,4,68,UCLA,Wyoming,78,12,10,2,0,No,,4,12,0
162,1987,2,2,Midwest,1,107,Indiana,Auburn,90,8,17,1,0,Yes (2),,1,8,0
163,1987,2,2,Midwest,2,62,Temple,LSU,72,10,10,2,0,Yes (2),,2,10,0
164,1987,2,2,Midwest,3,83,DePaul,St Johns,75,6,8,1,0,No,,3,6,0
